x,y,z
 0.349, -0.952, 0.061
 0.977, -0.061, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.952, 0.061
 0.977, -0.061, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.952, 0.061
 0.732, 0.000, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.950, 0.061
 0.732, 0.000, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.950, 0.061
 0.732, 0.000, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.948, 0.061
 0.793, 0.061, 0.671
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.948, 0.061
 0.793, 0.061, 0.671
 54.980, 49.792, 9.363
x,y,z
 0.347, -0.949, 0.062
 0.732, 0.122, 0.854
 54.980, 49.792, 9.363
x,y,z
 0.347, -0.949, 0.062
 0.732, 0.122, 0.854
 54.980, 49.792, 9.363
x,y,z
 0.348, -0.950, 0.064
 0.793, 0.122, 0.793
 54.980, 49.792, 9.363
x,y,z
 0.348, -0.950, 0.064
 0.793, 0.122, 0.793
 54.980, 49.792, 9.363
x,y,z
 0.348, -0.950, 0.064
 0.793, 0.122, 0.793
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.949, 0.064
 0.854, 0.183, 0.732
 54.980, 49.792, 9.363
x,y,z
 0.349, -0.949, 0.064
 0.854, 0.183, 0.732
 55.237, 50.159, 10.596
x,y,z
 0.348, -0.948, 0.064
 0.977, 0.305, 0.793
 55.237, 50.159, 10.596
x,y,z
 0.348, -0.948, 0.064
 0.977, 0.305, 0.793
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.949, 0.065
 0.793, 0.061, 0.854
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.949, 0.065
 0.793, 0.061, 0.854
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.949, 0.065
 1.038, 0.183, 0.793
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.948, 0.063
 1.038, 0.183, 0.793
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.948, 0.063
 1.038, 0.183, 0.793
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.949, 0.063
 1.038, 0.061, 0.854
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.949, 0.063
 1.038, 0.061, 0.854
 55.237, 50.159, 10.596
x,y,z
 0.347, -0.949, 0.062
 1.038, 0.000, 0.916
 55.237, 50.159, 10.596
x,y,z
 0.347, -0.949, 0.062
 1.038, 0.000, 0.916
 55.237, 50.159, 10.596
x,y,z
 0.347, -0.949, 0.062
 1.038, 0.061, 0.854
 55.237, 50.159, 10.596
x,y,z
 0.349, -0.950, 0.062
 1.038, 0.061, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.062
 1.038, 0.061, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.949, 0.061
 0.977, 0.122, 0.732
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.949, 0.061
 0.977, 0.122, 0.732
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.063
 0.854, 0.000, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.063
 0.854, 0.000, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.063
 0.977, 0.061, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.063
 0.977, 0.061, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.349, -0.950, 0.063
 0.977, 0.061, 0.854
 55.359, 50.525, 11.108
x,y,z
 0.348, -0.950, 0.063
 0.977, 0.061, 0.793
 55.359, 50.525, 11.108
x,y,z
 0.348, -0.950, 0.063
 0.977, 0.061, 0.793
 55.359, 50.525, 11.108
x,y,z
 0.348, -0.949, 0.063
 1.099, 0.183, 0.793
 55.359, 50.525, 11.108
x,y,z
 0.348, -0.949, 0.063
 1.099, 0.183, 0.793
 55.359, 50.525, 11.108
x,y,z
 0.348, -0.949, 0.064
 0.977, 0.183, 0.977
 55.066, 50.183, 10.059
x,y,z
 0.348, -0.949, 0.064
 0.977, 0.183, 0.977
 55.066, 50.183, 10.059
x,y,z
 0.348, -0.949, 0.064
 0.854, 0.122, 1.221
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.949, 0.063
 0.854, 0.122, 1.221
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.949, 0.063
 0.854, 0.122, 1.221
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.949, 0.063
 0.977, 0.183, 1.038
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.949, 0.063
 0.977, 0.183, 1.038
 55.066, 50.183, 10.059
x,y,z
 0.348, -0.949, 0.063
 0.916, 0.122, 1.099
 55.066, 50.183, 10.059
x,y,z
 0.348, -0.949, 0.063
 0.916, 0.122, 1.099
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.948, 0.062
 1.038, 0.244, 1.099
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.948, 0.062
 1.038, 0.244, 1.099
 55.066, 50.183, 10.059
x,y,z
 0.349, -0.948, 0.062
 1.038, 0.183, 0.854
 55.066, 50.183, 10.059
x,y,z
 0.350, -0.949, 0.061
 1.038, 0.183, 0.854
 55.066, 50.183, 10.059
x,y,z
 0.350, -0.949, 0.061
 1.038, 0.183, 0.854
 55.066, 50.183, 10.059
x,y,z
 0.350, -0.950, 0.064
 0.854, 0.305, 0.854
 55.200, 50.037, 11.218
x,y,z
 0.350, -0.950, 0.064
 0.854, 0.305, 0.854
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.950, 0.063
 0.854, 0.122, 0.916
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.950, 0.063
 0.854, 0.122, 0.916
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.949, 0.063
 1.038, 0.000, 0.610
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.949, 0.063
 1.038, 0.000, 0.610
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.949, 0.063
 1.038, 0.000, 0.610
 55.200, 50.037, 11.218
x,y,z
 0.348, -0.950, 0.063
 0.977, -0.183, 0.793
 55.200, 50.037, 11.218
x,y,z
 0.348, -0.950, 0.063
 0.977, -0.183, 0.793
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.949, 0.063
 1.038, -0.183, 0.732
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.949, 0.063
 1.038, -0.183, 0.732
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.948, 0.063
 0.977, -0.061, 0.671
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.948, 0.063
 0.977, -0.061, 0.671
 55.200, 50.037, 11.218
x,y,z
 0.349, -0.948, 0.063
 1.160, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.951, 0.064
 1.160, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.951, 0.064
 1.160, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.062
 0.916, -0.122, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.062
 0.916, -0.122, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.062
 1.099, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.062
 1.099, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.063
 1.038, 0.122, 0.793
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.063
 1.038, 0.122, 0.793
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.063
 1.038, 0.122, 0.793
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.949, 0.063
 0.977, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.949, 0.063
 0.977, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.063
 0.977, 0.061, 0.671
 54.431, 50.452, 10.999
x,y,z
 0.349, -0.948, 0.063
 0.977, 0.061, 0.671
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.951, 0.064
 0.977, -0.061, 0.549
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.951, 0.064
 0.977, -0.061, 0.549
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.951, 0.064
 0.916, -0.061, 0.671
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.062
 0.916, -0.061, 0.671
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.062
 0.916, -0.061, 0.671
 54.419, 49.780, 9.705
x,y,z
 0.350, -0.950, 0.062
 1.038, -0.061, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.350, -0.950, 0.062
 1.038, -0.061, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.348, -0.949, 0.063
 0.793, -0.061, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.348, -0.949, 0.063
 0.793, -0.061, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.062
 0.793, 0.000, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.062
 0.793, 0.000, 0.732
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.062
 0.854, 0.122, 0.977
 54.419, 49.780, 9.705
x,y,z
 0.349, -0.949, 0.063
 0.854, 0.122, 0.977
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.949, 0.063
 0.854, 0.122, 0.977
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.948, 0.062
 0.793, 0.183, 0.854
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.948, 0.062
 0.793, 0.183, 0.854
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.949, 0.062
 0.671, 0.000, 0.793
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.949, 0.062
 0.671, 0.000, 0.793
 54.797, 50.391, 10.559
x,y,z
 0.349, -0.949, 0.062
