x, y, z
 1.587, -0.305, 0.916
 1.587, -0.305, 0.854
 1.587, -0.305, 0.854
 1.465, -0.305, 0.916
 1.465, -0.305, 0.916
 1.343, -0.366, 0.977
 1.343, -0.366, 0.977
 1.343, -0.366, 0.977
 1.465, -0.366, 0.854
 1.465, -0.366, 0.854
 1.526, -0.366, 0.977
 1.526, -0.366, 0.977
 1.404, -0.610, 1.038
 1.404, -0.610, 1.038
 1.099, -0.427, 0.854
 1.099, -0.427, 0.854
 1.099, -0.427, 0.854
 1.099, -0.305, 0.793
 1.099, -0.305, 0.793
 0.854, -0.122, 0.732
 0.854, -0.122, 0.732
 0.793, 0.000, 0.916
 0.793, 0.000, 0.916
 0.671, 0.000, 0.977
 0.671, 0.000, 0.977
 0.671, 0.000, 0.977
 0.610, 0.244, 0.977
 0.610, 0.244, 0.977
 0.732, 0.183, 0.977
 0.732, 0.183, 0.977
 0.671, 0.061, 1.038
 0.671, 0.061, 1.038
 0.671, 0.061, 1.038
 0.427, 0.183, 1.282
 0.427, 0.183, 1.282
 0.793, 0.427, 1.160
 0.793, 0.427, 1.160
 0.610, 0.366, 1.160
 0.610, 0.366, 1.160
 0.732, 0.488, 1.221
 0.732, 0.488, 1.221
 0.732, 0.488, 1.221
 1.038, 0.549, 1.404
 1.038, 0.549, 1.404
 0.854, 0.427, 1.282
 0.854, 0.427, 1.282
 0.793, 0.183, 1.221
 0.793, 0.183, 1.221
 0.793, 0.183, 1.221
 0.854, 0.183, 1.282
 0.854, 0.183, 1.282
 0.854, 0.244, 1.099
 0.854, 0.244, 1.099
 0.916, 0.122, 1.160
 0.916, 0.122, 1.160
 0.916, 0.122, 1.221
 0.916, 0.122, 1.221
 0.916, 0.122, 1.221
 0.671, 0.122, 0.854
 0.671, 0.122, 0.854
 0.610, 0.122, 0.793
 0.610, 0.122, 0.793
 0.610, 0.122, 0.793
 0.610, 0.122, 0.793
 0.610, 0.122, 0.793
 0.732, 0.061, 0.793
 0.732, 0.061, 0.793
 0.671, 0.061, 0.732
 0.671, 0.061, 0.732
