x, y, z
 0.343, -0.950, 0.059
 0.343, -0.950, 0.059
 0.344, -0.949, 0.056
 0.344, -0.949, 0.056
 0.342, -0.950, 0.053
 0.342, -0.950, 0.053
 0.342, -0.950, 0.053
 0.340, -0.951, 0.051
 0.340, -0.951, 0.051
 0.346, -0.951, 0.047
 0.346, -0.951, 0.047
 0.345, -0.953, 0.064
 0.345, -0.953, 0.064
 0.346, -0.950, 0.068
 0.346, -0.950, 0.068
 0.346, -0.950, 0.068
 0.353, -0.951, 0.070
 0.353, -0.951, 0.070
 0.349, -0.951, 0.067
 0.349, -0.951, 0.067
 0.348, -0.952, 0.063
 0.348, -0.952, 0.063
 0.348, -0.952, 0.063
 0.345, -0.951, 0.057
 0.345, -0.951, 0.057
 0.341, -0.951, 0.055
 0.341, -0.951, 0.055
 0.342, -0.950, 0.054
 0.342, -0.950, 0.054
 0.341, -0.951, 0.052
 0.341, -0.951, 0.052
 0.341, -0.951, 0.052
 0.341, -0.950, 0.051
 0.341, -0.950, 0.051
 0.343, -0.950, 0.051
 0.343, -0.950, 0.051
 0.344, -0.951, 0.053
 0.344, -0.951, 0.053
 0.344, -0.951, 0.053
 0.344, -0.950, 0.054
 0.344, -0.950, 0.054
 0.345, -0.951, 0.057
 0.345, -0.951, 0.057
 0.346, -0.954, 0.059
 0.346, -0.954, 0.059
 0.344, -0.952, 0.061
 0.344, -0.952, 0.061
 0.344, -0.952, 0.061
 0.344, -0.952, 0.060
 0.344, -0.952, 0.060
 0.342, -0.951, 0.059
 0.342, -0.951, 0.059
 0.340, -0.951, 0.057
 0.340, -0.951, 0.057
 0.340, -0.951, 0.055
 0.340, -0.951, 0.055
 0.340, -0.951, 0.055
 0.342, -0.953, 0.056
 0.342, -0.953, 0.056
 0.341, -0.952, 0.056
 0.341, -0.952, 0.056
 0.340, -0.951, 0.055
 0.340, -0.951, 0.055
 0.341, -0.951, 0.054
 0.341, -0.951, 0.054
 0.341, -0.951, 0.054
 0.341, -0.951, 0.055
 0.341, -0.951, 0.055
 0.343, -0.951, 0.058
 0.343, -0.951, 0.058
 0.343, -0.952, 0.055
 0.343, -0.952, 0.055
 0.343, -0.952, 0.055
 0.343, -0.952, 0.056
 0.343, -0.952, 0.056
 0.342, -0.952, 0.055
 0.342, -0.952, 0.055
 0.344, -0.953, 0.055
 0.344, -0.953, 0.055
 0.344, -0.953, 0.055
 0.343, -0.953, 0.054
 0.343, -0.953, 0.054
 0.343, -0.951, 0.053
 0.343, -0.951, 0.053
 0.342, -0.951, 0.052
 0.342, -0.951, 0.052
 0.342, -0.951, 0.052
 0.341, -0.952, 0.053
 0.341, -0.952, 0.053
 0.342, -0.951, 0.051
 0.342, -0.951, 0.051
 0.342, -0.952, 0.053
 0.342, -0.952, 0.053
 0.343, -0.951, 0.053
 0.343, -0.951, 0.053
 0.343, -0.951, 0.053
 0.344, -0.951, 0.053
 0.344, -0.951, 0.053
 0.344, -0.951, 0.055
 0.344, -0.951, 0.055
 0.344, -0.952, 0.052
 0.344, -0.952, 0.052
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.344, -0.952, 0.053
 0.343, -0.952, 0.051
 0.343, -0.952, 0.051
 0.342, -0.953, 0.051
 0.342, -0.953, 0.051
 0.343, -0.952, 0.052
 0.343, -0.952, 0.052
 0.343, -0.952, 0.052
 0.342, -0.952, 0.052
 0.342, -0.952, 0.052
 0.343, -0.951, 0.053
 0.343, -0.951, 0.053
 0.343, -0.952, 0.053
 0.343, -0.952, 0.053
 0.343, -0.951, 0.051
 0.343, -0.951, 0.051
