x, y, z
 0.977, -0.061, 0.732
 0.977, -0.061, 0.732
 0.732, 0.000, 0.732
 0.732, 0.000, 0.732
 0.732, 0.000, 0.732
 0.793, 0.061, 0.671
 0.793, 0.061, 0.671
 0.732, 0.122, 0.854
 0.732, 0.122, 0.854
 0.793, 0.122, 0.793
 0.793, 0.122, 0.793
 0.793, 0.122, 0.793
 0.854, 0.183, 0.732
 0.854, 0.183, 0.732
 0.977, 0.305, 0.793
 0.977, 0.305, 0.793
 0.793, 0.061, 0.854
 0.793, 0.061, 0.854
 1.038, 0.183, 0.793
 1.038, 0.183, 0.793
 1.038, 0.183, 0.793
 1.038, 0.061, 0.854
 1.038, 0.061, 0.854
 1.038, 0.000, 0.916
 1.038, 0.000, 0.916
 1.038, 0.061, 0.854
 1.038, 0.061, 0.854
 1.038, 0.061, 0.854
 0.977, 0.122, 0.732
 0.977, 0.122, 0.732
 0.854, 0.000, 0.854
 0.854, 0.000, 0.854
 0.977, 0.061, 0.854
 0.977, 0.061, 0.854
 0.977, 0.061, 0.854
 0.977, 0.061, 0.793
 0.977, 0.061, 0.793
 1.099, 0.183, 0.793
 1.099, 0.183, 0.793
 0.977, 0.183, 0.977
 0.977, 0.183, 0.977
 0.854, 0.122, 1.221
 0.854, 0.122, 1.221
 0.854, 0.122, 1.221
 0.977, 0.183, 1.038
 0.977, 0.183, 1.038
 0.916, 0.122, 1.099
 0.916, 0.122, 1.099
 1.038, 0.244, 1.099
 1.038, 0.244, 1.099
 1.038, 0.183, 0.854
 1.038, 0.183, 0.854
 1.038, 0.183, 0.854
 0.854, 0.305, 0.854
 0.854, 0.305, 0.854
 0.854, 0.122, 0.916
 0.854, 0.122, 0.916
 1.038, 0.000, 0.610
 1.038, 0.000, 0.610
 1.038, 0.000, 0.610
 0.977, -0.183, 0.793
 0.977, -0.183, 0.793
 1.038, -0.183, 0.732
 1.038, -0.183, 0.732
 0.977, -0.061, 0.671
 0.977, -0.061, 0.671
 1.160, 0.061, 0.671
 1.160, 0.061, 0.671
 1.160, 0.061, 0.671
 0.916, -0.122, 0.671
 0.916, -0.122, 0.671
 1.099, 0.061, 0.671
 1.099, 0.061, 0.671
 1.038, 0.122, 0.793
 1.038, 0.122, 0.793
 1.038, 0.122, 0.793
 0.977, 0.061, 0.671
 0.977, 0.061, 0.671
 0.977, 0.061, 0.671
 0.977, 0.061, 0.671
 0.977, -0.061, 0.549
 0.977, -0.061, 0.549
 0.916, -0.061, 0.671
 0.916, -0.061, 0.671
 0.916, -0.061, 0.671
 1.038, -0.061, 0.732
 1.038, -0.061, 0.732
 0.793, -0.061, 0.732
 0.793, -0.061, 0.732
 0.793, 0.000, 0.732
 0.793, 0.000, 0.732
 0.854, 0.122, 0.977
 0.854, 0.122, 0.977
 0.854, 0.122, 0.977
 0.793, 0.183, 0.854
 0.793, 0.183, 0.854
 0.671, 0.000, 0.793
 0.671, 0.000, 0.793
 0.732, 0.122, 0.854
 0.732, 0.122, 0.854
 0.732, 0.122, 0.854
 0.793, 0.244, 0.793
 0.793, 0.244, 0.793
 0.793, 0.122, 0.793
 0.793, 0.122, 0.793
 0.854, 0.000, 0.671
 0.854, 0.000, 0.671
 0.854, 0.000, 0.671
 0.854, -0.061, 0.732
 0.854, -0.061, 0.732
 0.671, -0.061, 0.671
 0.671, -0.061, 0.671
 0.854, -0.122, 0.549
 0.854, -0.122, 0.549
 0.854, -0.305, 0.427
 0.854, -0.305, 0.427
 0.854, -0.305, 0.427
 0.854, -0.427, 0.427
 0.854, -0.427, 0.427
 0.732, -0.305, 0.427
 0.732, -0.305, 0.427
 0.671, -0.061, 0.610
 0.671, -0.061, 0.610
 0.610, 0.061, 0.671
 0.610, 0.061, 0.671
 0.610, 0.061, 0.671
 0.488, 0.122, 0.854
 0.488, 0.122, 0.854
 0.427, 0.244, 0.732
 0.427, 0.244, 0.732
 0.305, 0.427, 0.916
 0.305, 0.427, 0.916
 0.305, 0.244, 0.854
